####################################################################################
####################################################################################
####################################################################################
###                                                                              ###
###                                                                              ###
###  LIBRARY OF TRIANGULATIONS                                                   ###
###  by Bruno Benedetti and Frank H. Lutz                                        ###
###  http://page.math.tu-berlin.de/~lutz/stellar/library_of_triangulations.html  ###
###                                                                              ###
###                                                                              ###
###  name of example:                                                            ###
###                                                                              ###
###    S_5_100_472                                                               ###
###                                                                              ###
###                                                                              ###
###  description:                                                                ###
###                                                                              ###
###    boundary 5-sphere of a stacked 6-polytope with 100 vertices               ###
###                                                                              ###
###                                                                              ###
###  properties:                                                                 ###
###                                                                              ###
###    f=(100,579,1430,1895,1416,472),                                           ###
###    H_*=(Z,0,0,0,0,Z),                                                        ###
###    polytopal,                                                                ###
###    perfect discrete Morse vector: (1,0,0,0,0,1)                              ###
###                                                                              ###
###                                                                              ###
###  references:                                                                 ###
###                                                                              ###
###    Folklore.                                                                 ###
###                                                                              ###
###    B. Benedetti and F. H. Lutz.                                              ###
###    Random discrete Morse theory and a new library of triangulations.         ###
###    Exp. Math. 23, 66-94 (2014).                                              ###
###                                                                              ###
###                                                                              ###
####################################################################################
####################################################################################
####################################################################################

1 2 3 4 5 6
2 3 5 6 7 9
2 3 5 6 8 20
2 3 5 6 9 10
2 3 5 6 10 20
2 3 5 7 8 9
2 3 5 7 8 21
2 3 5 7 11 18
2 3 5 7 11 21
2 3 5 7 12 69
2 3 5 7 13 78
2 3 5 7 18 78
2 3 5 8 9 82
2 3 5 8 10 20
2 3 5 8 10 30
2 3 5 8 11 21
2 3 5 8 30 82
2 3 5 9 10 30
2 3 5 9 30 82
2 3 5 11 13 66
2 3 5 11 13 76
2 3 5 11 18 81
2 3 5 11 28 40
2 3 5 11 28 58
2 3 5 11 36 40
2 3 5 11 36 76
2 3 5 11 58 81
2 3 5 13 18 28
2 3 5 13 18 78
2 3 5 13 28 36
2 3 5 13 36 76
2 3 5 18 28 58
2 3 5 18 58 81
2 3 5 28 36 40
2 3 6 7 8 54
2 3 6 7 9 54
2 3 6 8 9 10
2 3 6 8 9 54
2 3 6 8 10 20
2 3 7 8 9 54
2 3 7 8 11 21
2 3 7 8 11 25
2 3 7 11 13 47
2 3 7 11 13 51
2 3 7 11 18 68
2 3 7 11 25 45
2 3 7 11 35 51
2 3 7 11 35 68
2 3 7 13 18 35
2 3 7 13 18 78
2 3 7 13 35 51
2 3 7 18 35 68
2 3 7 25 45 94
2 3 8 9 10 30
2 3 8 9 30 82
2 3 11 13 18 28
2 3 11 13 18 86
2 3 11 13 28 36
2 3 11 13 35 51
2 3 11 13 35 86
2 3 11 13 36 76
2 3 11 18 28 58
2 3 11 18 35 68
2 3 11 18 35 86
2 3 11 18 58 91
2 3 11 18 81 91
2 3 11 28 36 40
2 3 11 58 81 91
2 3 13 18 35 86
2 3 18 58 81 91
2 4 5 6 7 8
2 4 5 6 7 32
2 4 5 6 17 32
2 4 5 6 17 64
2 4 5 7 8 16
2 4 5 7 11 13
2 4 5 7 11 16
2 4 5 7 12 19
2 4 5 7 12 69
2 4 5 7 17 32
2 4 5 7 19 41
2 4 5 8 11 16
2 4 5 11 13 66
2 4 5 12 19 95
2 4 6 7 17 32
2 4 7 8 11 16
2 4 7 8 11 25
2 4 7 11 13 47
2 4 7 11 25 45
2 4 7 25 45 94
2 5 6 7 8 9
2 5 6 7 17 32
2 5 6 8 9 10
2 5 6 8 10 20
2 5 7 8 11 16
2 5 7 8 11 77
2 5 7 8 21 59
2 5 7 8 59 77
2 5 7 11 13 48
2 5 7 11 18 84
2 5 7 11 21 59
2 5 7 11 29 48
2 5 7 11 29 57
2 5 7 11 57 84
2 5 7 11 59 77
2 5 7 13 18 78
2 5 7 13 18 100
2 5 7 13 29 48
2 5 7 13 29 100
2 5 7 18 29 57
2 5 7 18 29 100
2 5 7 18 57 84
2 5 8 9 10 30
2 5 8 9 30 82
2 5 8 11 21 59
2 5 8 11 59 77
2 5 11 13 18 28
2 5 11 13 18 29
2 5 11 13 28 36
2 5 11 13 29 48
2 5 11 13 36 76
2 5 11 18 28 58
2 5 11 18 29 57
2 5 11 18 57 84
2 5 11 18 58 81
2 5 11 28 36 40
2 5 13 18 29 100
2 6 7 8 9 54
2 7 8 11 21 59
2 7 8 11 59 77
2 7 11 13 18 35
2 7 11 13 18 79
2 7 11 13 29 49
2 7 11 13 29 79
2 7 11 13 35 51
2 7 11 13 48 49
2 7 11 18 29 57
2 7 11 18 29 79
2 7 11 18 35 68
2 7 11 18 57 84
2 7 11 29 48 62
2 7 11 29 49 62
2 7 11 48 49 62
2 7 13 18 29 79
2 7 13 18 29 100
2 7 13 29 48 49
2 7 29 48 49 62
2 11 13 18 29 79
2 11 13 18 35 86
2 11 13 29 48 49
2 11 18 58 81 91
2 11 29 48 49 62
3 4 5 6 7 8
3 4 5 7 8 11
3 4 5 7 11 14
3 4 5 7 12 69
3 4 5 7 13 14
3 4 5 11 13 53
3 4 5 11 13 66
3 4 5 11 14 90
3 4 5 11 53 90
3 4 5 13 14 53
3 4 5 14 53 90
3 4 7 8 11 70
3 4 7 8 25 70
3 4 7 11 13 22
3 4 7 11 13 47
3 4 7 11 14 22
3 4 7 11 25 45
3 4 7 11 25 70
3 4 7 13 14 39
3 4 7 13 22 50
3 4 7 13 37 39
3 4 7 13 37 50
3 4 7 14 22 63
3 4 7 14 37 39
3 4 7 14 37 61
3 4 7 14 61 63
3 4 7 22 37 50
3 4 7 22 37 61
3 4 7 22 61 63
3 4 7 25 45 94
3 4 8 11 25 70
3 4 11 13 14 46
3 4 11 13 14 53
3 4 11 13 22 24
3 4 11 13 24 33
3 4 11 13 33 46
3 4 11 14 22 24
3 4 11 14 24 72
3 4 11 14 33 46
3 4 11 14 33 72
3 4 11 14 53 90
3 4 11 24 33 72
3 4 13 14 22 26
3 4 13 14 22 37
3 4 13 14 24 26
3 4 13 14 24 33
3 4 13 14 33 46
3 4 13 14 37 39
3 4 13 22 24 26
3 4 13 22 37 50
3 4 14 22 24 26
3 4 14 22 37 61
3 4 14 22 61 63
3 4 14 24 33 72
3 5 6 7 8 9
3 5 6 8 9 15
3 5 6 8 10 15
3 5 6 8 10 55
3 5 6 8 20 55
3 5 6 9 10 15
3 5 6 10 20 55
3 5 7 8 11 31
3 5 7 8 21 31
3 5 7 11 13 14
3 5 7 11 13 89
3 5 7 11 18 23
3 5 7 11 21 31
3 5 7 11 23 89
3 5 7 13 18 23
3 5 7 13 18 78
3 5 7 13 23 89
3 5 8 9 10 65
3 5 8 9 10 98
3 5 8 9 15 65
3 5 8 9 30 82
3 5 8 9 30 99
3 5 8 9 42 98
3 5 8 9 42 99
3 5 8 10 15 65
3 5 8 10 20 55
3 5 8 10 30 42
3 5 8 10 42 98
3 5 8 11 21 38
3 5 8 11 31 56
3 5 8 11 38 96
3 5 8 11 56 96
3 5 8 21 31 38
3 5 8 30 42 99
3 5 8 31 38 56
3 5 8 38 56 96
3 5 9 10 15 65
3 5 9 10 30 52
3 5 9 10 42 74
3 5 9 10 42 98
3 5 9 10 52 74
3 5 9 30 42 52
3 5 9 30 42 99
3 5 9 42 52 74
3 5 10 30 42 52
3 5 10 42 52 74
3 5 11 13 14 53
3 5 11 13 18 28
3 5 11 13 18 75
3 5 11 13 23 75
3 5 11 13 23 89
3 5 11 13 28 36
3 5 11 13 36 76
3 5 11 14 53 90
3 5 11 18 23 75
3 5 11 18 28 58
3 5 11 18 58 81
3 5 11 21 31 38
3 5 11 28 36 88
3 5 11 28 40 88
3 5 11 31 38 56
3 5 11 36 40 88
3 5 11 38 56 96
3 5 13 18 23 75
3 5 28 36 40 88
3 6 7 8 9 54
3 6 8 9 10 15
3 6 8 10 20 60
3 6 8 10 55 60
3 6 8 20 55 60
3 6 10 20 55 71
3 6 10 20 60 71
3 6 10 55 60 71
3 6 20 55 60 71
3 7 8 11 21 31
3 7 8 11 25 70
3 7 11 13 14 22
3 7 11 13 18 23
3 7 11 13 18 35
3 7 11 13 23 89
3 7 11 13 35 51
3 7 11 18 35 68
3 7 13 14 22 37
3 7 13 14 37 39
3 7 13 22 37 83
3 7 13 22 50 83
3 7 13 37 50 83
3 7 14 22 37 97
3 7 14 22 61 63
3 7 14 22 61 97
3 7 14 37 61 97
3 7 22 37 50 83
3 7 22 37 61 97
3 8 9 10 15 65
3 8 9 10 30 42
3 8 9 10 42 98
3 8 9 30 42 99
3 8 10 20 55 60
3 8 11 21 31 38
3 8 11 31 38 56
3 8 11 38 56 96
3 9 10 30 42 52
3 9 10 42 52 74
3 10 20 55 60 71
3 11 13 14 22 24
3 11 13 14 24 33
3 11 13 14 33 46
3 11 13 18 23 75
3 11 13 18 35 86
3 11 14 24 33 72
3 11 18 58 81 91
3 11 28 36 40 88
3 13 14 22 24 26
3 13 22 37 50 83
3 14 22 37 61 97
4 5 6 7 17 32
4 5 7 8 11 16
4 5 7 11 13 27
4 5 7 11 14 27
4 5 7 13 14 27
4 5 11 13 14 34
4 5 11 13 14 53
4 5 11 13 27 34
4 5 11 14 27 43
4 5 11 14 34 43
4 5 11 14 53 90
4 5 11 27 34 44
4 5 11 27 43 44
4 5 11 34 43 44
4 5 13 14 27 34
4 5 14 27 34 43
4 5 27 34 43 44
4 7 8 11 25 70
4 7 11 13 14 22
4 7 11 13 14 27
4 7 13 14 22 85
4 7 13 14 37 39
4 7 13 14 37 85
4 7 13 22 37 50
4 7 13 22 37 85
4 7 14 22 37 61
4 7 14 22 37 85
4 7 14 22 61 63
4 11 13 14 22 24
4 11 13 14 24 33
4 11 13 14 27 34
4 11 13 14 33 92
4 11 13 14 46 92
4 11 13 33 46 92
4 11 14 24 33 93
4 11 14 24 72 93
4 11 14 27 34 43
4 11 14 33 46 92
4 11 14 33 72 93
4 11 24 33 72 93
4 11 27 34 43 44
4 13 14 22 24 26
4 13 14 22 37 85
4 13 14 33 46 92
4 14 24 33 72 93
5 6 8 9 10 15
5 6 8 10 20 55
5 7 8 11 21 31
5 7 8 11 21 59
5 7 8 11 59 77
5 7 11 13 14 27
5 7 11 13 18 23
5 7 11 13 18 29
5 7 11 13 23 89
5 7 11 13 29 48
5 7 11 18 29 57
5 7 11 18 57 84
5 7 13 18 29 100
5 8 9 10 15 65
5 8 9 10 30 67
5 8 9 10 42 67
5 8 9 10 42 98
5 8 9 30 42 67
5 8 9 30 42 99
5 8 10 30 42 67
5 8 11 21 31 38
5 8 11 31 38 56
5 8 11 38 56 96
5 9 10 30 42 52
5 9 10 30 42 67
5 9 10 42 52 74
5 11 13 14 27 34
5 11 13 18 23 75
5 11 14 27 34 43
5 11 27 34 43 73
5 11 27 34 44 73
5 11 27 43 44 73
5 11 28 36 40 88
5 11 34 43 44 80
5 11 34 43 73 87
5 11 34 43 80 87
5 11 34 44 73 80
5 11 34 73 80 87
5 11 43 44 73 80
5 11 43 73 80 87
5 27 34 43 44 73
5 34 43 44 73 80
5 34 43 73 80 87
6 8 10 20 55 60
6 10 20 55 60 71
7 11 13 18 29 79
7 11 13 29 48 49
7 11 29 48 49 62
7 13 14 22 37 85
7 13 22 37 50 83
7 14 22 37 61 97
8 9 10 30 42 67
11 13 14 33 46 92
11 14 24 33 72 93
11 27 34 43 44 73
11 34 43 44 73 80
11 34 43 73 80 87

